Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
10776;Academia de música;Estampa;;005843-G;288;42;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559538
10777;Accident ferroviari;Estampa;;021722-G;152;271;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557672
10778;Acció a Sant Feliu de Saserra;Estampa;Josep Coromina;010285-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557687
10779;Acció de Mulestia;Estampa;anònim;010370-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557875
10780;Acción cerca de la Atalaya;Estampa;;010414-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557974
10781;Acción de Azlabán;Estampa;Q19898737;014421-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557784
10782;Acción de Azlabán (Museu Nacional d'Art de Catalunya, inv 014422-G);Estampa;Q19898737;014422-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557785
10783;Acción de Erice;Estampa;;010415-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557976
10784;Acróbat;Estampa;anònim;006520-G;97;8;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27570650
10785;Acróbata;Estampa;anònim;006519-G;97;8;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27570649
10786;Acte d'arrestar al General Prim;Estampa;Q17430936;010288-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557694
10787;Ada Spencer Daggett;Estampa;;160710-G;115;77;Secció de Gravats (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27567796
10788;Adam Pietz;Estampa;;164036-G;114;77;Secció de Gravats (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27516622
10789;Adam Pietz (Museu Nacional d'Art de Catalunya, inv 164037-G);Estampa;;164037-G;133;77;Secció de Gravats (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27516629
10790;Addisson;Estampa;;004283-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27570929
10791;Adolph Und Clara Holzmann-Forrer Zurich;Estampa;;161295-G;115;77;Secció de Gravats (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27563833
10792;Adèle Jylden Low;Estampa;;160776-G;54;69;Secció de Gravats (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27567185
10793;Agonia;Estampa;anònim;006685-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559566
10794;Aguesseau;Estampa;;004284-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27570935
10795;Alarico I;Estampa;Joan Amills Costa;004175-G;104;73;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557407
10796;Alcibiades;Estampa;Joan Amills Costa;004176-G;108;76;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557408
10797;Alexander Freiherr von Dachenhausen;Estampa;;160481-G;83;63;Secció de Gravats (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27561320
10798;Alfons XIII, nen;Estampa;Bartomeu Maura i Montaner;010664-G;107;83;Secció de Gravats (MNAC);1887;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557935
10799;Alfr.Frhrn.V.Dachenhausen;Estampa;;160485-G;125;115;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27561024
10800;Alfred Le Roy de Mèricourt;Estampa;Joan Amills Costa;010140-G;155;10;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557078
10801;Alfred u Erna Friedl Ex-Libris;Estampa;;162009-G;152;116;Secció de Gravats (MNAC);1906;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27563710
10802;Almogàvers;Estampa;;010609-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557567
10803;Almogávares;Estampa;;010608-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557559
