Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
2389;Al·legoria (Museu d'Art Modern de Tarragona, inv 910);Dibuix;Josep Sancho Piqué;910;12;25;Museu d'Art Modern de Tarragona;1870-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24568896
2390;Anciana amb filosa;Dibuix;Dionís Baixeras i Verdaguer;2534 D;32;245;Reial Acadèmia Catalana de Belles Arts de Sant Jordi;1890-01-01T00:00:00Z;;;;Reial Acadèmia Catalana de Belles Arts de Sant Jordi;;;2.149367500 41.40648240;;;;;;;http://www.wikidata.org/entity/Q23901996
2391;Andreu, fill;Dibuix;Lluís Bagaria i Bou;691;415;25;Museu d'Art de Sabadell;1910-01-01T00:00:00Z;;;;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;;;;http://www.wikidata.org/entity/Q23955668
2392;Animals (Museu d'Art Modern de Tarragona, inv 1306);Dibuix;José Nogué Massó;1306;605;48;Museu d'Art Modern de Tarragona;1870-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24566369
2393;Apunt (Museu d'Art Modern de Tarragona, inv 1220-18 v);Dibuix;Julio Antonio;1220-18 v;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254803
2394;Apunt (Museu d'Art Modern de Tarragona, inv 1220-18);Dibuix;Julio Antonio;1220-18;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254801
2395;Apunt (Museu d'Art Modern de Tarragona, inv 1220-19 v);Dibuix;Julio Antonio;1220-19 v;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254806
2396;Apunt (Museu d'Art Modern de Tarragona, inv 1220-20 v);Dibuix;Julio Antonio;1220-20 v;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254809
2397;Apunt (Museu d'Art Modern de Tarragona, inv 1220-20);Dibuix;Julio Antonio;1220-20;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254807
2398;Apunt (Museu d'Art Modern de Tarragona, inv 1220-21 v);Dibuix;Julio Antonio;1220-21 v;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254811
