Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
51;Can Gener;Arquitectura;Ubald Iranzo i Eiras;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Can%20Gener%20de%20Vilanova%20i%20la%20Geltr%C3%BA.JPG;;;;Rambla Principal, 104;;1.725899 41.221966;;Bé cultural d'interès local;;;;Vilanova i la Geltrú;http://www.wikidata.org/entity/Q11911640
52;Can Geronès;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Can%20Geron%C3%A8s.jpg;;;;;;2.65966 41.86252;;Bé cultural d'interès local;;;;Santa Coloma de Cervelló;http://www.wikidata.org/entity/Q11911644
53;Can Jonch;Arquitectura;Manuel Joaquim Raspall i Mayol;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Granollers%20CanJonc%20IPA-28980%200001.jpg;;;;;;2.285 41.6095;;Bé cultural d'interès local;;;;Granollers;http://www.wikidata.org/entity/Q11911660
54;Can Magrinyà;Arquitectura;Josep Maria Miró i Guibernau;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Can%20Renard%20a%20Vilanova%20i%20la%20Geltr%C3%BA.JPG;;;;Rambla Principal, 114-116;;1.726094 41.221576;;Bé cultural d'interès local;;;;Vilanova i la Geltrú;http://www.wikidata.org/entity/Q11911673
55;Can Millet (l'Ametlla del Vallès;Arquitectura;Manuel Joaquim Raspall i Mayol;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Raspall%20canMillet%20Ametlla%20IPA-28356%204555.jpg;;;;;;2.25864444 41.67450833;;Bé cultural d'interès local;;;;l'Ametlla del Vallès;http://www.wikidata.org/entity/Q11911699
56;Can Sebastià Soler;Arquitectura;Josep Maria Miró i Guibernau;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Vilanova%20i%20la%20Geltr%C3%BA%2C%20Can%20Pahissa.JPG;;;;Rambla de la Pau, 42;;1.727358 41.219296;;Bé cultural d'interès local;;;;Vilanova i la Geltrú;http://www.wikidata.org/entity/Q11911831
57;Can Tomàs Barrera;Arquitectura;;;;;;;;;;;;;2.66336 41.86241;;Bé cultural d'interès local;;;;Santa Coloma de Cervelló;http://www.wikidata.org/entity/Q11911848
58;Can Trinxet;Arquitectura;Joan Rubió i Bellver;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/StFeliuCodines-Baronia-4960.jpg;;;;;;2.158101 41.699607;;;;;;Sant Feliu de Codines;http://www.wikidata.org/entity/Q11911857
59;Casa Arnús;Arquitectura;Enric Sagnier i Villavecchia;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Sagnier-CasaArnus-1301.JPG;;;;;;2.131801 41.416634;;Bé cultural d'interès local;;;;Barcelona;http://www.wikidata.org/entity/Q11912683
60;Casa Antoni Lleal;Arquitectura;Joan Amigó i Barriga;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Can%20Pepus.JPG;;;;;;2.240468 41.446181;;Bé cultural d'interès local;;;;Badalona;http://www.wikidata.org/entity/Q11912684
61;Casa Batlle;Arquitectura;Rafael Masó i Valentí;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Batlle.jpg;;;;;;2.821889 41.982419;;;;;;Girona;http://www.wikidata.org/entity/Q11912690
62;Casa Bofill;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Bofill.jpg;;;;;;3.16572 41.9166;;Bé cultural d'interès local;;;;Palafrugell;http://www.wikidata.org/entity/Q11912695
63;Casa Bofarull;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Pallaresos%20Jujol%20casa%20Masovers%20IPA-12273%204347.jpg;;;;;;1.268996 41.175352;;Bé cultural d'interès local;;;;Tarragonès;http://www.wikidata.org/entity/Q11912696
64;Casa Camil Tous;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Camil%20Tous%20P1110823.JPG;;;;;;2.050249 41.379892;;Bé cultural d'interès local;;;;Sant Feliu de Llobregat;http://www.wikidata.org/entity/Q11912703
