Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink;;;;;;;;;;
14159;American Crescent Cycles;Cartells;Q5499142;000272-C;1613;111;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27514856;;;;;;;;;;
14217;Carbo-Sales. El purgante;Cartells;Gaietà Cornet i Palau;000353-C;90;65;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27514859;;;;;;;;;;
14729;Sense títol (Le Quartier. Cabaret-Salon);Cartells;Q19629869;000270-C;1998;80;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27514860;;;;;;;;;;
14607;Omega Oil;Cartells;Q19629869;000162-C;200;280;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27514861;;;;;;;;;;
14753;Sense títol (Syndicat Céntral des Agriculteurs de France);Cartells;Q19629869;000166-C;1115;1505;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27514863;;;;;;;;;;
14532;La Meuse (Museu Nacional d'Art de Catalunya, inv 000246-C);Cartells;;000246-C;167;123;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27514866;;;;;;;;;;
14364;Exposizione Generale Italiana, Torino;Cartells;Q3766613;000120-C;154;995;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27514867;;;;;;;;;;
14751;Sense títol (Red Star Line. Ostende-Douvres);Cartells;Henri Cassiers;000617-C;1093;1536;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27514871;;;;;;;;;;
14718;Sense títol (Casino de Blankenberghe);Cartells;Henri Meunier;000117-C;902;1247;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27514913;;;;;;;;;;
14715;Sense títol (Automobiles Gobron);Cartells;Henri Meunier;000210-C;905;1112;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27514958;;;;;;;;;;
14356;Exposition Internationale Bruxelles 1897;Cartells;Henri Privat-Livemont;000176-C;267;129;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515006;;;;;;;;;;
14150;Absinthe Robette;Cartells;Henri Privat-Livemont;000244-C;1043;822;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515050;;;;;;;;;;
14752;Sense títol (Savon Cristel);Cartells;Henri Privat-Livemont;000252-C;105;825;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515092;;;;;;;;;;
14213;Cacao Vanhouten;Cartells;Henri Privat-Livemont;000085-C;148;636;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515137;;;;;;;;;;
14719;Sense títol (Cercle Artistique de Schaerbeck);Cartells;Henri Privat-Livemont;000227-C;1094;835;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515183;;;;;;;;;;
14913;Ville de Bruxelles;Cartells;Henri Privat-Livemont;000169-C;156;115;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515228;;;;;;;;;;
14620;Pains d'épices de Dijon;Cartells;Q3038792;000205-C;126;93;Secció de Cartells (MNAC);1894;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515272;;;;;;;;;;
14314;Engrais;Cartells;Q3038792;000198-C;131;100;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515314;;;;;;;;;;
14163;Amieux Frères;Cartells;Gustave-Henri Jossot;000207-C;140;100;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515359;;;;;;;;;;
14211;Cabourg;Cartells;Q1912252;000204-C;1495;106;Secció de Cartells (MNAC);1895;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515404;;;;;;;;;;
14404;Fète Villageoise. Grande Kermesse Flamande;Cartells;;000223-C;124;90;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515448;;;;;;;;;;
14556;Liqueur Hannappier;Cartells;;000247-C;110;149;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515489;;;;;;;;;;
14310;El Pueblo. Diario republicano de Valencia;Cartells;Joaquim Sorolla i Bastida;000386-C;128;187;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515522;;;;;;;;;;
14275;Colman's Mustard;Cartells;John Hassall;000213-C;223;1023;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515567;;;;;;;;;;
14276;Colman's Mustard (Museu Nacional d'Art de Catalunya, inv 000288-C);Cartells;John Hassall;000288-C;224;100;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515608;;;;;;;;;;
14420;Gran Feria de Valencia;Cartells;Josep Mongrell i Torrent;000403-C;275;108;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515650;;;;;;;;;;
14551;Le Sourire;Cartells;Jules Alexandre Grün;000279-C;1243;885;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515695;;;;;;;;;;
14192;Benzo-Moteur;Cartells;Jules Chéret;000230-C;1224;86;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515736;;;;;;;;;;
14680;Saxoléine Pétrole de [Sûreté];Cartells;Jules Chéret;000231-C;116;88;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515783;;;;;;;;;;
14722;Sense títol (Filadora);Cartells;Jules Chéret;000233-C;131;89;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515825;;;;;;;;;;
14748;Sense títol (Puntaire);Cartells;Jules Chéret;000234-C;131;89;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515869;;;;;;;;;;
14593;Musée Grévin. Théâtre les Fantôches;Cartells;Jules Chéret;000235-C;124;882;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515916;;;;;;;;;;
14250;Chaussure renommes. Rousset-Cygne;Cartells;Q19201684;000255-C;139;100;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27515961;;;;;;;;;;
14528;La Libre Esthetique. Salon Annuel;Cartells;;000238-C;154;81;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516005;;;;;;;;;;
14761;Société Anonyme des Tabacs d'Obourg;Cartells;;000145-C;1564;1148;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516047;;;;;;;;;;
14191;Belgica;Cartells;;000146-C;142;114;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516048;;;;;;;;;;
14671;Résidence Royale, Spa;Cartells;;000149-C;1564;115;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516050;;;;;;;;;;
14642;Première Exposition Internationale des Arts Décoratifs Modernes;Cartells;Leonardo Bistolfi;000610-C;1055;1455;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516053;;;;;;;;;;
14632;Pharmacie alsace-lorraine Cachou La Jaunie;Cartells;Leonetto Cappiello;000184-C;1352;100;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516057;;;;;;;;;;
14157;Amandines de Provence;Cartells;Leonetto Cappiello;000187-C;1365;99;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516060;;;;;;;;;;
14529;La Marquisette;Cartells;Leonetto Cappiello;000130-C;1395;1005;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516065;;;;;;;;;;
14592;Musica e musicisti;Cartells;Leonetto Cappiello;000294-C;146;105;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516069;;;;;;;;;;
14916;Vins authentiques Grands Chais du Médoc;Cartells;Leonetto Cappiello;000173-C;194;131;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516070;;;;;;;;;;
14243;Champagne Delbeck;Cartells;Leonetto Cappiello;000181-C;1345;1005;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516073;;;;;;;;;;
14605;Nuyens's menthe;Cartells;Leonetto Cappiello;000185-C;138;101;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516074;;;;;;;;;;
14263;Claudine à l'école;Cartells;;000259-C;1405;1005;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516105;;;;;;;;;;
14707;Second Annual Automobile Show. Madison Square Garden;Cartells;;000276-C;208;101;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516146;;;;;;;;;;
14675;Salutis soap Chiozza Turchi;Cartells;Q1936310;000239-C;2003;943;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516184;;;;;;;;;;
14912;Villa Rosa. Bagni e Doccie;Cartells;Q1936310;000134-C;133;925;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516185;;;;;;;;;;
14579;Miniere Solfuree Trezza Romagna;Cartells;Q1936310;000240-C;160;94;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516188;;;;;;;;;;
14281;Compresse Gasal;Cartells;Q1936310;000278-C;2027;945;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516192;;;;;;;;;;
14542;Le Figaro;Cartells;Q3310869;000110-C;1195;81;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516194;;;;;;;;;;
14543;Le Figaro (Museu Nacional d'Art de Catalunya, inv 000111-C);Cartells;Q3310869;000111-C;120;798;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516195;;;;;;;;;;
14544;Le Figaro (Museu Nacional d'Art de Catalunya, inv 000112-C);Cartells;Q3310869;000112-C;120;81;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516196;;;;;;;;;;
14545;Le Figaro (Museu Nacional d'Art de Catalunya, inv 000113-C);Cartells;Q3310869;000113-C;120;797;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516198;;;;;;;;;;
14546;Le Figaro (Museu Nacional d'Art de Catalunya, inv 000114-C);Cartells;Q3310869;000114-C;1207;797;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516199;;;;;;;;;;
14606;Oh! l'exquise cigarette roumaine...!;Cartells;;000222-C;1195;755;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516200;;;;;;;;;;
14740;Sense títol (Museu Nacional d'Art de Catalunya, inv 000435-C);Cartells;anònim;000435-C;1305;995;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516201;;;;;;;;;;
14147;Abono Valencia;Cartells;;000378-C;2105;108;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516203;;;;;;;;;;
14523;La Bourboule;Cartells;;000414-C;1488;110;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516204;;;;;;;;;;
14261;Circvlo Artistico. Exposiciones permanentes;Cartells;Ramir Lorenzale i Rogent;000364-C;955;711;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516205;;;;;;;;;;
14734;Sense títol (Museu Nacional d'Art de Catalunya, inv 000017-C);Cartells;Théophile Alexandre Steinlen;000017-C;919;684;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516207;;;;;;;;;;
14533;La Rue;Cartells;Théophile Alexandre Steinlen;000214-C;236;102;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516210;;;;;;;;;;
14538;La traîte des blanches;Cartells;Théophile Alexandre Steinlen;000189-C;1552;124;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516214;;;;;;;;;;
14728;Sense títol (Le Petit Sou);Cartells;Théophile Alexandre Steinlen;000179-C;1355;1004;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516215;;;;;;;;;;
14872;Topi__v Salon;Cartells;;000221-C;108;81;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516216;;;;;;;;;;
14601;Nestlé's milk;Cartells;;000250-C;278;100;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516217;;;;;;;;;;
14536;La Tribuna;Cartells;Q3767664;000174-C;260;142;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516218;;;;;;;;;;
14736;Sense títol (Museu Nacional d'Art de Catalunya, inv 000175-C);Cartells;Henri Privat-Livemont;000175-C;297;113;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516219;;;;;;;;;;
14307;E. & A. Mele & Ci;Cartells;Leonetto Cappiello;000413-C;195;150;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516220;;;;;;;;;;
14759;Simplicissimus;Cartells;Q216004;004418-C;35;35;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;(litografia, cartolina);;;http://www.wikidata.org/entity/Q27516221;;;;;;;;;;
14381;Ferias y fiestas de Ntra. Sra. de la Merced y deI V Centenario del descubrimiento de América;Cartells;Josep Pascó i Mensa;200205-000;345;150;Secció de Cartells (MNAC);1892;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516224;;;;;;;;;;
14585;Mosaicos Hidráulicos Órsola, Solá y Cia;Cartells;Alexandre de Riquer i Ynglada;214193-000;1308;90;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516225;;;;;;;;;;
14367;Fabrica de salchichon de Vich;Cartells;Alexandre de Riquer i Ynglada;214656-000;1968;734;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516226;;;;;;;;;;
14291;Cycles & automobiles Clément;Cartells;Q3426546;213726-000;1187;158;Secció de Cartells (MNAC);1890;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516229;;;;;;;;;;
14373;Fayans Catalá;Cartells;Feliu Elias i Bracons;000420-C01;92;467;Secció de Cartells (MNAC);1904;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516231;;;;;;;;;;
14625;Papitu;Cartells;Feliu Elias i Bracons;000421-C;65;90;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516232;;;;;;;;;;
14391;Fiestas y Feria en Alcoy. 1905;Cartells;anònim;200206-000;26;5;Secció de Cartells (MNAC);1905;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516235;;;;;;;;;;
14284;Concurso hípico de San Sebastián. 1907;Cartells;anònim;200215-000;15;17;Secció de Cartells (MNAC);1907;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516238;;;;;;;;;;
14604;Nueva plaza de toros de San Sebastián. 1905;Cartells;Q20671948;200207-000;22;2;Secció de Cartells (MNAC);1905;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516239;;;;;;;;;;
14283;Concurso hípico de San Sebastián. 1905;Cartells;;200214-000;84;12;Secció de Cartells (MNAC);1905;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516242;;;;;;;;;;
14389;Fiestas de Sevilla 1902;Cartells;;200210-000;1945;123;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516243;;;;;;;;;;
14189;Barcelona. Ciudad de invierno;Cartells;Carlos Verger Fioretti;001285-C;92;127;Secció de Cartells (MNAC);1909;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516244;;;;;;;;;;
14481;IV Exposició Internacional d'Art;Cartells;Vicent Climent Navarro;000458-C;109;77;Secció de Cartells (MNAC);1911;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516245;;;;;;;;;;
14401;Fulls de la vida;Cartells;Santiago Rusiñol i Prats;204710-000;1095;765;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516246;;;;;;;;;;
14135;3ra. Exposición de Bellas Artes é Industrias Artísticas;Cartells;Alexandre de Riquer i Ynglada;000455-C;933;148;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516247;;;;;;;;;;
14894;V Exposicio Internacional d'Art. Abril de 1907;Cartells;Joan Llimona i Bruguera;001508-C;150;975;Secció de Cartells (MNAC);1907;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516248;;;;;;;;;;
14405;Fêtes de Barcelone;Cartells;Llorenç Brunet i Forroll;000451-C;283;100;Secció de Cartells (MNAC);1905;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516249;;;;;;;;;;
14499;Jochs Florals de Barcelona. Festes del cinquantenari;Cartells;Ramon Casas i Carbó;000453-C;2135;111;Secció de Cartells (MNAC);1908;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516250;;;;;;;;;;
14895;V Exposicion Internacional de Arte;Cartells;Joan Llimona i Bruguera;000460-C;150;973;Secció de Cartells (MNAC);1907;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516252;;;;;;;;;;
14347;Exposición Nacional en Valencia;Cartells;Manuel Benedito Vives;000651-C;1031;142;Secció de Cartells (MNAC);1910;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516253;;;;;;;;;;
14348;Exposición Nacional en Valencia;Cartells;Amadeo Desfilis Pascual;000651-C;1031;142;Secció de Cartells (MNAC);1910;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516253;;;;;;;;;;
14136;3ra. Exposición de Bellas Artes é Industrias Artísticas (Museu Nacional d'Art de Catalunya, inv 000455-C01);Cartells;Alexandre de Riquer i Ynglada;000455-C01;95;150;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27516254;;;;;;;;;;
