Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink;;;;;;;;;;
14754;Sense títol (inv 9367);Cartells;;9367;;;Institut Municipal de Museus de Reus;1900;;;;Institut Municipal de Museus de Reus;;;1.110426999 41.15641779;;;;(Paper, Tinta);;;http://www.wikidata.org/entity/Q27102864;;;;;;;;;;
14422;Gran Teatre del Liceu;Cartells;Adrià Gual i Queralt;000351-C;64;88;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27505825;;;;;;;;;;
14477;Helm Cacao;Cartells;Henri Privat-Livemont;000087-C;1545;665;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27505831;;;;;;;;;;
14508;José Ribas mobiliario Barcelona;Cartells;Ramon Casas i Carbó;000361-C;744;48;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Paper;;;http://www.wikidata.org/entity/Q27505940;;;;;;;;;;
14168;Antigua Casa Soteras;Cartells;Francesc de Cidón Navarro;000376-C;1065;77;Secció de Cartells (MNAC);1902;;;;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27505944;;;;;;;;;;
14653;Quatre frisos per a la decoració de la sala Verdaguer al Palau de Belles Arts;Cartells;anònim;157197-CJT;;;Col·lecció d'Art Modern (MNAC);1903;;;Vil·la Joana;Col·lecció d'Art Modern (MNAC);;;2.099805555 41.41975555;;;;;;;http://www.wikidata.org/entity/Q27506541;;;;;;;;;;
14670;Rètol decoratiu amb la llegenda «SALA VERDAGUER / 1845 - 1902»;Cartells;Francesc de Paula Mirabent i Soler;157197-000;136;5585;Col·lecció d'Art Modern (MNAC);1903;;;Vil·la Joana;Col·lecció d'Art Modern (MNAC);;;2.099805555 41.41975555;;;;;;;http://www.wikidata.org/entity/Q27506544;;;;;;;;;;
14631;Perfumeria Ladivfer;Cartells;Francesc de Cidón Navarro;214437-000;130;90;Secció de Cartells (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513032;;;;;;;;;;
14658;Real Automóvil-Club de Cataluña. Copa Tibidabo;Cartells;Ramon Casas i Carbó;214269-000;110;817;Secció de Cartells (MNAC);1914;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513033;;;;;;;;;;
14560;Little Red Riding Hood;Cartells;John Hassall;000065-C;753;515;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513034;;;;;;;;;;
