Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
3653;Ascenció de Crist 92a;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Pamplona;http://www.wikidata.org/entity/Q26835884
3654;Assumpció de Maria 79;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Comillas;http://www.wikidata.org/entity/Q26835891
3655;Assumpció de Maria 79a;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Pamplona;http://www.wikidata.org/entity/Q26835890
3656;Assumpció de Maria 79b;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835892
3657;Assumpció de Maria 79b*;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835889
3658;Assumpció de Maria 79c;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Manlleu;http://www.wikidata.org/entity/Q26835895
3659;Assumpció de Maria 79d;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835894
3660;Assumpció de la Verge 110;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Escorca;http://www.wikidata.org/entity/Q26835888
3661;Automòbil Club;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835896
3662;Autoretrat (Museu d'Art Modern de Tarragona, inv 3004);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24255336
3663;Aviación (1909-1912);Escultura;Antoni Parera i Saurina;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q23901962
3664;Avila de los Caballeros (Museu d'Art Modern de Tarragona, inv 3049);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24256962
3665;Avila de los Caballeros (Museu d'Art Modern de Tarragona, inv 3235);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24258290
3666;Barcelona dóna pas a la justícia (1908) (model de revers);Escultura;Antoni Parera i Saurina;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q23901247
3667;Bartomeu Amat;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Terrassa;http://www.wikidata.org/entity/Q26835901
3668;Bellesa 178;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835905
3669;Bellesa 178b;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835907
3670;Bellesa 178c;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835903
3671;Bellesa 178d;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835902
3672;Bellesa 178e;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835904
3673;Bellesa 179;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835906
3674;Boceto Monumento a Wagner (Museu d'Art Modern de Tarragona, inv 3041);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24258297
3675;Boceto Monumento a Wagner (Museu d'Art Modern de Tarragona, inv 3229);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24258298
3676;Boceto del Monumento a los Héroes de Tarragona (Museu d'Art Modern de Tarragona, inv 3007);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24255337
3677;Bust d'Alfons XIII;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835908
3678;Bust d'home;Escultura;;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q23951983
3679;Bust d'una dona d'avançada edat;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835910
3680;Bust de Beethoven;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835911
3681;Bust de Carles Gumersind Vidiella;Escultura;Josep Llimona i Bruguera;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Retrat%20Vidiella%20Josep%20Llimona%20CAT%20CEDOC%201.09.55.jpg;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q24347933
3682;Bust de dona;Escultura;;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q23951984
3683;Bust de la Resignació;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835912
3684;Bust de noia;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835913
3685;Bust de nostra Senyora del Roser;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835915
3686;Bust del Patge Florentí;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835917
