Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
3457;Cos de vestit del Museu de la Marina;Top;Anonimat;2;;;Museu de la Marina;1890;;;;Museu de la Marina;;162CV;2.389374599 41.507239;;;;;;;http://www.wikidata.org/entity/Q23971341
3558;"Cos de vestit del Museu Arxiu Municipal de Calella	";Top;Anonimat;1140;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;1906;;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;;234CV;2.657291600 41.612832;;;;;;;http://www.wikidata.org/entity/Q23906368
3559;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;14098;;;Centre de Documentació i Museu Tèxtil;1906;;;;Centre de Documentació i Museu Tèxtil;;246CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906367
3560;"Cos de vestit del Museu d'Història de Sabadell	";Top;;5124;;;Museu d'Història de Sabadell;1906;;;;Museu d'Història de Sabadell;;210CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906362
3561;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5302;;;Museu d'Història de Sabadell;1902;;;;Museu d'Història de Sabadell;;205CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906357
3562;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;11;;;Museu Comarcal de l'Urgell;1902;;;;Museu Comarcal de l'Urgell;;270CV;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23906355
3563;"Cos de vestit del Museu d'Història de Sabadell	";Top;Irene Bellver;5500;;;Museu d'Història de Sabadell;1902;;;;Museu d'Història de Sabadell;;215CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906354
3564;"Cos de vestit del Museu d'Història de Catalunya	";Top;Anonimat;436;;;Museu d'Història de Catalunya;1900;;;;Museu d'Història de Catalunya;;221CV;2.186014999 41.380715;;;;;;;http://www.wikidata.org/entity/Q23906352
3565;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5707;;;Museu d'Història de Sabadell;1895;;;;Museu d'Història de Sabadell;;149CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906348
3566;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;10475/1;;;Museu d'Història de Sabadell;1895;;;;Museu d'Història de Sabadell;;145CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906345
3567;"Cos de vestit del Museu Arxiu Municipal de Calella	";Top;Anonimat;12497;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;1890;;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;;134P;2.657291600 41.612832;;;;;;;http://www.wikidata.org/entity/Q23906344
3568;"Cos de vestit del Museu de la pell d'Igualada	";Top;Anonimat;1186;;;Museu de la Pell d'Igualada;1889;;;;Museu de la Pell d'Igualada;;133CV;1.613885299 41.5776134;;;;;;;http://www.wikidata.org/entity/Q23906343
3569;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5731;;;Museu d'Història de Sabadell;1885;;;;Museu d'Història de Sabadell;;123CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906342
3570;"Cos de vestit del Museo del Traje	";Top;Elvira Lluch;104510;;;Museu del Vestit;1885;;;;Museu del Vestit;;136CV;(-3.72861111 40.44);;;;;;;http://www.wikidata.org/entity/Q23906341
3571;"Cos de vestit del Museu Episcopal de Vic	";Top;Anonimat;13268;;;Museu Episcopal de Vic;1883;;;;Museu Episcopal de Vic;;131CV;2.255946999 41.928684;;;;;;;http://www.wikidata.org/entity/Q23906339
3572;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5313;;;Museu d'Història de Sabadell;1882;;;;Museu d'Història de Sabadell;;116CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906338
3573;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5725;;;Museu d'Història de Sabadell;1880;;;;Museu d'Història de Sabadell;;122CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906337
3574;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5308;;;Museu d'Història de Sabadell;1880;;;;Museu d'Història de Sabadell;;114CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906336
3575;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;5331;;;Museu Etnogràfic de Ripoll;1871;;;;Museu Etnogràfic de Ripoll;;092CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906331
3576;"Cos de vestit del Museu Episcopal de Vic	";Top;Anonimat;17406;;;Museu Episcopal de Vic;1871;;;;Museu Episcopal de Vic;;089CV;2.255946999 41.928684;;;;;;;http://www.wikidata.org/entity/Q23906329
3577;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5294;;;Museu d'Història de Sabadell;1868;;;;Museu d'Història de Sabadell;;041CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906324
3578;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5284;;;Museu d'Història de Sabadell;1868;;;;Museu d'Història de Sabadell;;038CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906323
3579;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5290;;;Museu d'Història de Sabadell;1866;;;;Museu d'Història de Sabadell;;040CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906320
3580;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5287;;;Museu d'Història de Sabadell;1866;;;;Museu d'Història de Sabadell;;039CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906319
3581;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5722;;;Museu d'Història de Sabadell;1866;;;;Museu d'Història de Sabadell;;037CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906318
3582;"Cos de vestit del Museu Romàntic Can Papiol	";Top;Anonimat;3614;;;Museu Romàntic Can Papiol;1861;;;;Museu Romàntic Can Papiol;;036CV;1.724776000 41.2277999;;;;;;;http://www.wikidata.org/entity/Q23906317
3583;"Cos de vestit del Museu Comarcal de la Garrotxa	";Top;Anonimat;1317;;;Museu de la Garrotxa;1860;;;;Museu de la Garrotxa;;029CV;2.489343999 42.181371;;;;;;;http://www.wikidata.org/entity/Q23906316
3584;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5713;;;Museu d'Història de Sabadell;1855;;;;Museu d'Història de Sabadell;;028CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906314
3585;"Cos de vestit del Museu Comarcal de la Garrotxa	";Top;Anonimat;6135;;;Museu de la Garrotxa;1851;;;;Museu de la Garrotxa;;031CV;2.489343999 42.181371;;;;;;;http://www.wikidata.org/entity/Q23906313
3586;"Cos de vestit del Museu de Granollers	";Top;Anonimat;5826;;;Museu de Granollers;1850;;;;Museu de Granollers;;026CV;2.288442700 41.606948;;;;;;;http://www.wikidata.org/entity/Q23906311
3587;"Cos de vestit del Museu Comarcal de la Garrotxa	";Top;Anonimat;6121;;;Museu de la Garrotxa;1843;;;;Museu de la Garrotxa;;013CV;2.489343999 42.181371;;;;;;;http://www.wikidata.org/entity/Q23906310
3588;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;3614;;;Museu Etnogràfic de Ripoll;1843;;;;Museu Etnogràfic de Ripoll;;010CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906309
3589;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;10606;;;Museu d'Història de Sabadell;1880;;;;Museu d'Història de Sabadell;;121CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906307
3590;"Cos de vestit del Museu Romàntic Can Papiol	";Top;Anonimat;3645;;;Museu Romàntic Can Papiol;1880;;;;Museu Romàntic Can Papiol;;140CV;1.724776000 41.2277999;;;;;;;http://www.wikidata.org/entity/Q23906304
3591;"Cos de vestit del Museu-Arxiu Tomàs Balvey	";Top;Anonimat;2980;;;Museu-Arxiu Tomàs Balvey de Cardedeu;1880;;;;Museu-Arxiu Tomàs Balvey de Cardedeu;;126CV;2.354775000 41.637953;;;;;;;http://www.wikidata.org/entity/Q23906288
3592;"Cos de vestit del Museu Romàntic Can Papiol	";Top;Anonimat;3607;;;Museu Romàntic Can Papiol;1880;;;;Museu Romàntic Can Papiol;;141CV;1.724776000 41.2277999;;;;;;;http://www.wikidata.org/entity/Q23906286
3593;"Cos de vestit del Museu Romàntic Can Papiol	";Top;Anonimat;3616;;;Museu Romàntic Can Papiol;1880;;;;Museu Romàntic Can Papiol;;139CV;1.724776000 41.2277999;;;;;;;http://www.wikidata.org/entity/Q23906285
3594;"Cos de vestit del Museu Episcopal de Vic	";Top;Anonimat;16702;;;Museu Episcopal de Vic;1880;;;;Museu Episcopal de Vic;;132CV;2.255946999 41.928684;;;;;;;http://www.wikidata.org/entity/Q23906284
3595;"Cos de vestit del Museu de la pell d'Igualada	";Top;Anonimat;1401;;;Museu de la Pell d'Igualada;1860;;;;Museu de la Pell d'Igualada;;093CV;1.613885299 41.5776134;;;;;;;http://www.wikidata.org/entity/Q23906283
3596;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5726;;;Museu d'Història de Sabadell;1910;;;;Museu d'Història de Sabadell;;289CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906280
3597;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5122;;;Museu d'Història de Sabadell;1890;;;;Museu d'Història de Sabadell;;156CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906277
3598;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5732;;;Museu d'Història de Sabadell;1890;;;;Museu d'Història de Sabadell;;155CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906275
3599;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;14;;;Museu Comarcal de l'Urgell;1910;;;;Museu Comarcal de l'Urgell;;305CV;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23906274
3600;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;15;;;Museu Comarcal de l'Urgell;1900;;;;Museu Comarcal de l'Urgell;;272CV;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23906273
3601;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;12;;;Museu Comarcal de l'Urgell;1900;;;;Museu Comarcal de l'Urgell;;271CV;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23906271
3602;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;10;;;Museu Comarcal de l'Urgell;1900;;;;Museu Comarcal de l'Urgell;;269CV;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23906270
3603;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;1;;;Museu Comarcal de l'Urgell;1890;;;;Museu Comarcal de l'Urgell;;192CV;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23906269
3604;"Cos de vestit del Museu Marès de la Punta	";Top;Anonimat;9705;;;Museu d'Arenys de Mar;1900;;;;Museu d'Arenys de Mar;;232CV;2.548720000 41.58133;;;;;;;http://www.wikidata.org/entity/Q23906250
3605;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;3565;;;Museu Etnogràfic de Ripoll;1880;;;;Museu Etnogràfic de Ripoll;;129CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906249
3606;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;3613;;;Museu Etnogràfic de Ripoll;1840;;;;Museu Etnogràfic de Ripoll;;009CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906247
3607;"Cos de vestit del Museu de Granollers	";Top;Anonimat;5818;;;Museu de Granollers;1860;;;;Museu de Granollers;;085CV;2.288442700 41.606948;;;;;;;http://www.wikidata.org/entity/Q23906246
3608;"Cos de vestit del Museu de Badalona	";Top;Anonimat;4740;;;Museu de Badalona;1880;;;;Museu de Badalona;;130CV;2.247796399 41.452128;;;;;;;http://www.wikidata.org/entity/Q23906245
3609;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5303;;;Museu d'Història de Sabadell;1860;;;;Museu d'Història de Sabadell;;050CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906242
3610;"Cos de vestit del Museu d'Història de Sabadell	";Top;Marcelina B. de Andreu;5501;;;Museu d'Història de Sabadell;1900;;;;Museu d'Història de Sabadell;;216CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906236
3611;"Cos de vestit del Museu Arxiu Municipal de Calella	";Top;M. Oliveras;1139;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;1910;;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;;293CV;2.657291600 41.612832;;;;;;;http://www.wikidata.org/entity/Q23906231
3612;"Cos de vestit del Museu d'Història de Sabadell	";Top;Augusta Zagri;5730;;;Museu d'Història de Sabadell;1890;;;;Museu d'Història de Sabadell;;148CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906219
3613;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;5175;;;Museu Etnogràfic de Ripoll;1868;;;;Museu Etnogràfic de Ripoll;;047CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906210
