Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
3457;Cos de vestit del Museu de la Marina;Top;Anonimat;2;;;Museu de la Marina;1890;;;;Museu de la Marina;;162CV;2.389374599 41.507239;;;;;;;http://www.wikidata.org/entity/Q23971341
3478;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;15212;;;Centre de Documentació i Museu Tèxtil;1890;;;;Centre de Documentació i Museu Tèxtil;;182CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906646
3479;"Cos de vestit del Museu Marès de la Punta	";Top;Anonimat;10108;;;Museu d'Arenys de Mar;1890;;;;Museu d'Arenys de Mar;;167CV;2.548720000 41.58133;;;;;;;http://www.wikidata.org/entity/Q23906642
3480;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;3568;;;Museu Etnogràfic de Ripoll;1910;;;;Museu Etnogràfic de Ripoll;;290CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906641
3481;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5307;;;Museu d'Història de Sabadell;1910;;;;Museu d'Història de Sabadell;;291CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906640
3482;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Rosa Font de Rigol;11537;;;Centre de Documentació i Museu Tèxtil;1890;;;;Centre de Documentació i Museu Tèxtil;;179CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906636
3483;"Cos de vestit del Museu de Badalona	";Top;Anonimat;1809;;;Museu de Badalona;1912;;;;Museu de Badalona;;292CV;2.247796399 41.452128;;;;;;;http://www.wikidata.org/entity/Q23906633
3484;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;08759/1;;;Centre de Documentació i Museu Tèxtil;1914;;;;Centre de Documentació i Museu Tèxtil;;295CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906632
3485;"Cos de vestit del Museu Arxiu Municipal de Calella	";Top;Anonimat;19368/1;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;1911;;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;;294CV;2.657291600 41.612832;;;;;;;http://www.wikidata.org/entity/Q23906631
3486;"Cos de vestit del Museu de Badalona	";Top;Anonimat;6699;;;Museu de Badalona;1900;;;;Museu de Badalona;;233CV;2.247796399 41.452128;;;;;;;http://www.wikidata.org/entity/Q23906622
3487;"Cos de vestit del Museu de l'Estampació	";Top;Anonimat;111321;;;Museu Municipal de l'Estampació de Premià de Mar;1900;;;;Museu Municipal de l'Estampació de Premià de Mar;;283CV;2.352222222 41.4886111;;;;;;;http://www.wikidata.org/entity/Q23906620
